group_combined,response,count,proportion
NOT_and,"animal 1, animal 2, no animal",52,0.3466666666666667
NOT_and,"animal 2, no animal",2,0.013333333333333334
NOT_and,both animals,3,0.02
NOT_and,no animal,91,0.6066666666666667
NOT_and,NA,2,0.013333333333333334
NOT_or,"animal 1, no animal",2,0.013333333333333334
NOT_or,"animal 2, no animal",1,0.006666666666666667
NOT_or,both animals,1,0.006666666666666667
NOT_or,no animal,146,0.9733333333333334
not_AND,"animal 1, animal 2",2,0.013333333333333334
not_AND,"animal 1, animal 2, no animal",82,0.5466666666666666
not_AND,animal 2,6,0.04
not_AND,"animal 2, no animal",1,0.006666666666666667
not_AND,both animals,2,0.013333333333333334
not_AND,no animal,56,0.37333333333333335
not_AND,NA,1,0.006666666666666667
not_OR,"animal 1, animal 2",1,0.006666666666666667
not_OR,animal 2,1,0.006666666666666667
not_OR,"animal 2, no animal",3,0.02
not_OR,no animal,145,0.9666666666666667
