"Duration (in seconds)","ResponseId","UserLanguage","Intro","question","response"
181,"R_1gBJtn3uei1isPp","EN",2,"Control_no_animals_1","3"
157,"R_73EKhxpL40LNZ94","EN",2,"Control_no_animals_1","3"
176,"R_17EzhlQuFZ8uIFU","EN",2,"Control_no_animals_1","3"
151,"R_3F8U45sZSaABavf","EN",2,"Control_no_animals_1","3"
140,"R_5COxM0ncYsxiIC1","EN",2,"Control_no_animals_1","3"
181,"R_1gBJtn3uei1isPp","EN",2,"Control_one_animal_1","12"
157,"R_73EKhxpL40LNZ94","EN",2,"Control_one_animal_1","12"
176,"R_17EzhlQuFZ8uIFU","EN",2,"Control_one_animal_1","12"
151,"R_3F8U45sZSaABavf","EN",2,"Control_one_animal_1","12"
140,"R_5COxM0ncYsxiIC1","EN",2,"Control_one_animal_1","12"
181,"R_1gBJtn3uei1isPp","EN",2,"Control_two_animals...21","4"
157,"R_73EKhxpL40LNZ94","EN",2,"Control_two_animals...21","4"
176,"R_17EzhlQuFZ8uIFU","EN",2,"Control_two_animals...21","4"
151,"R_3F8U45sZSaABavf","EN",2,"Control_two_animals...21","4"
140,"R_5COxM0ncYsxiIC1","EN",2,"Control_two_animals...21","4"
181,"R_1gBJtn3uei1isPp","EN",2,"not_and_cb_001","3"
157,"R_73EKhxpL40LNZ94","EN",2,"not_and_cb_001","3"
176,"R_17EzhlQuFZ8uIFU","EN",2,"not_and_cb_001","3"
151,"R_3F8U45sZSaABavf","EN",2,"not_and_cb_001","3"
140,"R_5COxM0ncYsxiIC1","EN",2,"not_and_cb_001","3"
181,"R_1gBJtn3uei1isPp","EN",2,"Control_two_animals...23","4"
157,"R_73EKhxpL40LNZ94","EN",2,"Control_two_animals...23","4"
176,"R_17EzhlQuFZ8uIFU","EN",2,"Control_two_animals...23","4"
151,"R_3F8U45sZSaABavf","EN",2,"Control_two_animals...23","4"
140,"R_5COxM0ncYsxiIC1","EN",2,"Control_two_animals...23","4"
181,"R_1gBJtn3uei1isPp","EN",2,"not_or_ed_001","3"
157,"R_73EKhxpL40LNZ94","EN",2,"not_or_ed_001","3"
176,"R_17EzhlQuFZ8uIFU","EN",2,"not_or_ed_001","3"
151,"R_3F8U45sZSaABavf","EN",2,"not_or_ed_001","3"
140,"R_5COxM0ncYsxiIC1","EN",2,"not_or_ed_001","3"
181,"R_1gBJtn3uei1isPp","EN",2,"Control_only_cat...25","2"
157,"R_73EKhxpL40LNZ94","EN",2,"Control_only_cat...25","2"
176,"R_17EzhlQuFZ8uIFU","EN",2,"Control_only_cat...25","2"
151,"R_3F8U45sZSaABavf","EN",2,"Control_only_cat...25","2"
140,"R_5COxM0ncYsxiIC1","EN",2,"Control_only_cat...25","2"
181,"R_1gBJtn3uei1isPp","EN",2,"not_and_dc_002","3"
157,"R_73EKhxpL40LNZ94","EN",2,"not_and_dc_002","3"
176,"R_17EzhlQuFZ8uIFU","EN",2,"not_and_dc_002","123"
151,"R_3F8U45sZSaABavf","EN",2,"not_and_dc_002","3"
140,"R_5COxM0ncYsxiIC1","EN",2,"not_and_dc_002","3"
181,"R_1gBJtn3uei1isPp","EN",2,"Control_two_animals...27","4"
157,"R_73EKhxpL40LNZ94","EN",2,"Control_two_animals...27","4"
176,"R_17EzhlQuFZ8uIFU","EN",2,"Control_two_animals...27","4"
151,"R_3F8U45sZSaABavf","EN",2,"Control_two_animals...27","4"
140,"R_5COxM0ncYsxiIC1","EN",2,"Control_two_animals...27","4"
181,"R_1gBJtn3uei1isPp","EN",2,"not_and_ed_003","3"
157,"R_73EKhxpL40LNZ94","EN",2,"not_and_ed_003","3"
176,"R_17EzhlQuFZ8uIFU","EN",2,"not_and_ed_003","3"
151,"R_3F8U45sZSaABavf","EN",2,"not_and_ed_003","3"
140,"R_5COxM0ncYsxiIC1","EN",2,"not_and_ed_003","3"
181,"R_1gBJtn3uei1isPp","EN",2,"Control_has_cat_dog","4"
157,"R_73EKhxpL40LNZ94","EN",2,"Control_has_cat_dog","4"
176,"R_17EzhlQuFZ8uIFU","EN",2,"Control_has_cat_dog","4"
151,"R_3F8U45sZSaABavf","EN",2,"Control_has_cat_dog","4"
140,"R_5COxM0ncYsxiIC1","EN",2,"Control_has_cat_dog","4"
181,"R_1gBJtn3uei1isPp","EN",2,"not_or_cb_002","3"
157,"R_73EKhxpL40LNZ94","EN",2,"not_or_cb_002","3"
176,"R_17EzhlQuFZ8uIFU","EN",2,"not_or_cb_002","3"
151,"R_3F8U45sZSaABavf","EN",2,"not_or_cb_002","3"
140,"R_5COxM0ncYsxiIC1","EN",2,"not_or_cb_002","3"
181,"R_1gBJtn3uei1isPp","EN",2,"Control_only_cat...31","2"
157,"R_73EKhxpL40LNZ94","EN",2,"Control_only_cat...31","2"
176,"R_17EzhlQuFZ8uIFU","EN",2,"Control_only_cat...31","2"
151,"R_3F8U45sZSaABavf","EN",2,"Control_only_cat...31","2"
140,"R_5COxM0ncYsxiIC1","EN",2,"Control_only_cat...31","2"
181,"R_1gBJtn3uei1isPp","EN",2,"not_or_cb_102","123"
157,"R_73EKhxpL40LNZ94","EN",2,"not_or_cb_102","123"
176,"R_17EzhlQuFZ8uIFU","EN",2,"not_or_cb_102","123"
151,"R_3F8U45sZSaABavf","EN",2,"not_or_cb_102","123"
140,"R_5COxM0ncYsxiIC1","EN",2,"not_or_cb_102","123"
181,"R_1gBJtn3uei1isPp","EN",2,"not_or_cd_003","3"
157,"R_73EKhxpL40LNZ94","EN",2,"not_or_cd_003","3"
176,"R_17EzhlQuFZ8uIFU","EN",2,"not_or_cd_003","3"
151,"R_3F8U45sZSaABavf","EN",2,"not_or_cd_003","3"
140,"R_5COxM0ncYsxiIC1","EN",2,"not_or_cd_003","123"
181,"R_1gBJtn3uei1isPp","EN",2,"not_or_ed_101","123"
157,"R_73EKhxpL40LNZ94","EN",2,"not_or_ed_101","123"
176,"R_17EzhlQuFZ8uIFU","EN",2,"not_or_ed_101","123"
151,"R_3F8U45sZSaABavf","EN",2,"not_or_ed_101","123"
140,"R_5COxM0ncYsxiIC1","EN",2,"not_or_ed_101","123"
181,"R_1gBJtn3uei1isPp","EN",2,"not_and_cb_101","123"
157,"R_73EKhxpL40LNZ94","EN",2,"not_and_cb_101","123"
176,"R_17EzhlQuFZ8uIFU","EN",2,"not_and_cb_101","123"
151,"R_3F8U45sZSaABavf","EN",2,"not_and_cb_101","123"
140,"R_5COxM0ncYsxiIC1","EN",2,"not_and_cb_101","123"
181,"R_1gBJtn3uei1isPp","EN",2,"not_or_cd_103","123"
157,"R_73EKhxpL40LNZ94","EN",2,"not_or_cd_103","123"
176,"R_17EzhlQuFZ8uIFU","EN",2,"not_or_cd_103","123"
151,"R_3F8U45sZSaABavf","EN",2,"not_or_cd_103","123"
140,"R_5COxM0ncYsxiIC1","EN",2,"not_or_cd_103","123"
181,"R_1gBJtn3uei1isPp","EN",2,"Control_two_animals...37","4"
157,"R_73EKhxpL40LNZ94","EN",2,"Control_two_animals...37","4"
176,"R_17EzhlQuFZ8uIFU","EN",2,"Control_two_animals...37","4"
151,"R_3F8U45sZSaABavf","EN",2,"Control_two_animals...37","4"
140,"R_5COxM0ncYsxiIC1","EN",2,"Control_two_animals...37","4"
181,"R_1gBJtn3uei1isPp","EN",2,"not_and_ed_103","123"
157,"R_73EKhxpL40LNZ94","EN",2,"not_and_ed_103","123"
176,"R_17EzhlQuFZ8uIFU","EN",2,"not_and_ed_103","123"
151,"R_3F8U45sZSaABavf","EN",2,"not_and_ed_103","123"
140,"R_5COxM0ncYsxiIC1","EN",2,"not_and_ed_103","123"
181,"R_1gBJtn3uei1isPp","EN",2,"Control_no_animals","3"
157,"R_73EKhxpL40LNZ94","EN",2,"Control_no_animals","3"
176,"R_17EzhlQuFZ8uIFU","EN",2,"Control_no_animals","3"
151,"R_3F8U45sZSaABavf","EN",2,"Control_no_animals","3"
140,"R_5COxM0ncYsxiIC1","EN",2,"Control_no_animals","3"
181,"R_1gBJtn3uei1isPp","EN",2,"not_and_dc_102","12"
157,"R_73EKhxpL40LNZ94","EN",2,"not_and_dc_102","123"
176,"R_17EzhlQuFZ8uIFU","EN",2,"not_and_dc_102","123"
151,"R_3F8U45sZSaABavf","EN",2,"not_and_dc_102","123"
140,"R_5COxM0ncYsxiIC1","EN",2,"not_and_dc_102","123"
